ISIN,coupon,issue_date,maturity_date,price_jan_10,price_jan_11,price_jan_12,price_jan_13,price_jan_14,price_jan_17,price_jan_18,price_jan_19,price_jan_20,price_jan_21
CA135087D507,2.25%,6/30/2014,6/1/2025,102.91,102.89,102.9,103,103,102.79,102.63,102.39,102.31,102.38
CA135087E679,1.50%,7/21/2015,6/1/2026,100.12,100.17,100.13,100.2,100.2,100.2,99.71,99.34,99.37,99.52
CA135087F825,1.00%,8/3/2016,6/1/2027,97.18,97.28,97.32,97.24,97.35,97.05,96.8,96.38,96.42,96.59
CA135087H235,2.00%,8/1/2017,6/1/2028,102.4,102.48,102.38,102.56,102.56,102.2,102,101.52,101.55,101.88
CA135087J397,2.25%,7/27/2018,6/1/2029,104.44,104.59,104.6,106.42,106.42,106.42,106.42,106.42,106.42,106.42
CA135087K528,1.25%,10/11/2019,3/1/2025,99.64,99.67,99.61,100.39,100.39,100.39,100.39,100.39,100.39,100.39
CA135087K940,0.50%,4/3/2020,9/1/2025,96.81,96.72,96.77,96.69,96.74,96.58,96.38,96.07,96.14,96.23
CA135087L443,0.50%,10/5/2020,12/1/2030,90.21,90.36,90.25,90.2,90.42,89.88,89.66,88.95,89.08,89.57
CA135087L518,0.25%,10/9/2020,3/1/2026,95.11,95.17,95.12,95.08,95.16,94.93,94.75,94.41,94.45,94.6
CA135087L930,1.00%,4/16/2021,9/1/2026,97.66,97.7,97.67,97.54,97.64,97.38,97.17,96.79,96.83,97
CA135087M276,1.50%,4/26/2021,6/1/2031,98,98.18,98.18,97.97,98.19,97.59,97.32,96.6,96.79,97.25
CA135087M847,1.25%,10/15/2021,3/1/2027,97.91,97.98,97.9,98.35,98.42,98.1,97.87,97.58,97.73,97.96
CA135087N266,1.50%,10/25/2021,12/1/2031,97.4,97.59,97.42,97.5,97.21,96.73,96.35,96.3,96.35,96.9
CA135087VH40,9.00%,8/2/1994,6/1/2025,125.14,125.17,125.09,125,124.97,124.74,124.53,124.16,124.16,124.26
CA135087VW17,8.00%,5/1/1996,6/1/2027,133.3,133.37,133.3,137.37,137.37,137.37,137.37,137.37,137.37,137.37
CA135087WL43,5.75%,2/2/1998,6/1/2029,128.79,128.92,128.79,128.77,128.86,128.3,128.05,127.26,127.4,127.82
CA135087A610,1.50%,7/30/2012,6/1/2023,100.71,100.7,100.7,100.65,100.64,100.58,100.48,100.41,100.41,100.45
CA135087B451,2.50%,7/2/2013,6/1/2024,103.02,102.98,102.97,105.86,105.86,105.86,105.86,105.86,105.86,105.86
CA135087G328,0.50%,10/11/2016,3/1/2022,100.04,100.3,100.3,100.03,100.03,100.02,100.02,100.01,100.01,100.01
CA135087H490,1.75%,10/6/2017,3/1/2023,100.94,100.93,100.91,100.88,100.87,100.82,100.74,100.7,100.71,100.75
CA135087J546,2.25%,10/5/2018,3/1/2024,101.82,101.8,101.77,102.24,102.24,102.12,101.98,101.88,101.91,101.96
CA135087J967,1.50%,4/5/2019,9/1/2024,100.56,100.63,100.18,100.66,100.66,100.48,100.37,100.25,100.25,100.27
CA135087K601,1.50%,11/4/2019,2/1/2022,99.57,99.56,99.56,100.05,100.04,100.04,100.03,100.03,100.02,100.02
CA135087K866,1.50%,1/27/2020,5/1/2022,99.85,99.84,99.84,100.33,100.32,100.3,100.28,100.26,100.26,100.26
CA135087L286,0.25%,5/4/2020,8/1/2022,99.8,99.79,99.78,99.7,99.7,99.68,99.65,99.62,99.63,99.65
CA135087L369,0.25%,8/17/2020,11/1/2022,99.05,99.04,99.03,0,0,0,0,0,0,0
CA135087L690,0.25%,10/16/2020,4/1/2024,97.96,97.96,97.93,97.92,97.91,97.8,97.67,97.57,97.63,97.71
CA135087L773,0.25%,10/26/2020,2/1/2023,98.81,98.81,98.79,99.28,99.28,99.23,99.17,99.13,99.14,99.18
CA135087M359,0.25%,5/14/2021,8/1/2023,98.81,99.07,99.05,98.69,98.7,98.62,98.54,98.45,98.46,98.5
CA135087L856,0.25%,2/5/2021,5/1/2023,99.08,98.08,98.78,99.04,99.04,98.98,98.91,98.86,98.86,98.89
CA135087M508,0.75%,7/12/2021,10/1/2024,98.56,98.56,98.53,98.48,98.5,98.34,98.21,98.07,98.1,98.2
CA135087M763,0.50%,8/9/2021,11/1/2023,98.97,98.96,98.93,98.84,98.84,98.75,98.66,98.56,98.57,98.6
CA135087M920,0.75%,10/22/2021,2/1/2024,99.2,99.2,99.16,99.13,99.09,98.92,98.84,98.84,98.83,98.9
CA135087UM44,9.25%,12/15/1991,6/1/2022,103.39,103.36,103.33,103.28,103.24,103.2,103.16,103.11,103.06,103.03
CA135087UT96,8.00%,8/17/1992,6/1/2023,109.62,109.59,109.54,109.61,109.61,109.61,109.61,109.61,109.61,109.61
CA135087ZU15,2.75%,8/2/2011,6/1/2022,100.9,100.89,100.88,100.91,100.91,100.91,100.91,100.91,100.91,100.91
